更新时间,#genre#
2026-03-04 14:37:02,url


央视频道,#genre#
CCTV9 纪录[1920x1080],http://113.111.109.217:4022/udp/239.77.1.168:5146
CCTV10 科教[1920x1080],http://113.111.109.217:4022/udp/239.77.0.134:5146
CCTV10 科教[1920x1080],http://113.111.109.217:4022/udp/239.77.1.169:5146
CCTV10 科教[1920x1080],http://113.104.186.190:7088/udp/239.77.0.134:5146
CCTV10 科教[1920x1080],http://113.104.186.190:7088/udp/239.77.1.113:5146
CCTV10 科教[1920x1080],http://113.104.186.190:7088/udp/239.77.1.169:5146
CCTV10 科教[1920x1080],http://113.111.109.217:4022/udp/239.77.0.134:5146
CCTV10 科教[1920x1080],http://113.111.109.217:4022/udp/239.77.1.113:5146
CCTV10 科教[1920x1080],http://113.111.109.217:4022/udp/239.77.1.169:5146
CCTV11 戏曲[1920x1080],http://113.104.186.190:7088/udp/239.77.1.238:5146
CCTV11 戏曲[1920x1080],http://113.111.109.217:4022/udp/239.77.1.238:5146
CCTV12 社会与法[1920x1080],http://113.104.186.190:7088/udp/239.77.1.109:5146
CCTV12 社会与法[1920x1080],http://113.104.186.190:7088/udp/239.77.0.136:5146
CCTV12 社会与法[1920x1080],http://113.104.186.190:7088/udp/239.77.1.109:5146
CCTV12 社会与法[1920x1080],http://113.104.186.190:7088/udp/239.77.1.170:5146
CCTV12 社会与法[1920x1080],http://113.111.109.217:4022/udp/239.77.0.136:5146
CCTV12 社会与法[1920x1080],http://113.111.109.217:4022/udp/239.77.1.109:5146
CCTV12 社会与法[1920x1080],http://113.111.109.217:4022/udp/239.77.1.170:5146
CCTV13 新闻[1920x1080],http://113.104.186.190:7088/udp/239.253.43.196:5146
CCTV13 新闻[1920x1080],http://113.104.186.190:7088/udp/239.77.0.188:5146
CCTV13 新闻[1920x1080],http://113.111.109.217:4022/udp/239.253.43.196:5146
CCTV13 新闻[1920x1080],http://113.111.109.217:4022/udp/239.77.0.188:5146
CCTV14 少儿[1920x1080],http://113.104.186.190:7088/udp/239.77.0.133:5146
CCTV14 少儿[1920x1080],http://113.104.186.190:7088/udp/239.77.1.161:5146
CCTV14 少儿[1920x1080],http://113.104.186.190:7088/udp/239.77.1.171:5146
CCTV14 少儿[1920x1080],http://113.111.109.217:4022/udp/239.77.0.133:5146
CCTV14 少儿[1920x1080],http://113.111.109.217:4022/udp/239.77.1.161:5146
CCTV14 少儿[1920x1080],http://113.111.109.217:4022/udp/239.77.1.171:5146
CCTV15 音乐[1920x1080],http://113.104.186.190:7088/udp/239.77.1.239:5146
CCTV15 音乐[1920x1080],http://113.111.109.217:4022/udp/239.77.1.239:5146
CCTV16 奥林匹克[1920x1080],http://113.104.186.190:7088/udp/239.77.0.165:5146
CCTV16 奥林匹克[1920x1080],http://113.104.186.190:7088/udp/239.77.1.76:5146
CCTV16 奥林匹克[1920x1080],http://113.111.109.217:4022/udp/239.77.0.165:5146
CCTV16 奥林匹克[1920x1080],http://113.111.109.217:4022/udp/239.77.1.76:5146
CCTV17 农业农村[1920x1080],http://113.111.109.217:4022/udp/239.77.1.121:5146
CCTV17 农业农村[1920x1080],http://113.104.186.190:7088/udp/239.77.0.198:5146
CCTV17 农业农村[1920x1080],http://113.104.186.190:7088/udp/239.77.1.121:5146
CCTV17 农业农村[1920x1080],http://113.111.109.217:4022/udp/239.77.0.198:5146
CCTV17 农业农村[1920x1080],http://113.111.109.217:4022/udp/239.77.1.121:5146
CCTV世界地理[1920x1080],http://113.104.186.190:7088/udp/239.253.43.7:5146
CCTV世界地理[1920x1080],http://113.104.186.190:7088/udp/239.253.43.24:5146
